filename,AddressOfEntryPoint,BASERELOC_Size,BASERELOC_VA,BOUND_IMPORT_Size,BOUND_IMPORT_VA,BaseOfCode,BaseOfData,COM_DESCRIPTOR_Size,COM_DESCRIPTOR_VA,COPYRIGHT_Size,COPYRIGHT_VA,Characteristics,CheckSum,DEBUG_Size,DEBUG_VA,DELAY_IMPORT_Size,DELAY_IMPORT_VA,DllCharacteristics,EXCEPTION_Size,EXCEPTION_VA,EXPORT_Size,EXPORT_VA,FileAlignment,IAT_Size,IAT_VA,IMPORT_Size,IMPORT_VA,ImageBase,LOAD_CONFIG_Size,LOAD_CONFIG_VA,Machine,Magic,MajorImageVersion,MajorLinkerVersion,MajorOperatingSystemVersion,MajorSubsystemVersion,MinorImageVersion,MinorLinkerVersion,MinorOperatingSystemVersion,MinorSubsystemVersion,NumberOfSections,NumberOfSymbols,PointerToSymbolTable,RESOURCE_Size,RESOURCE_VA,SECURITY_Size,SECURITY_VA,SectionAlignment,SizeOfCode,SizeOfHeaders,SizeOfHeapCommit,SizeOfHeapReserve,SizeOfImage,SizeOfInitializedData,SizeOfOptionalHeader,SizeOfStackCommit,SizeOfStackReserve,SizeOfUninitializedData,Subsystem,TLS_Size,TLS_VA,e_cblp,e_cp,e_cparhdr,e_crlc,e_cs,e_csum,e_ip,e_lfanew,e_lfarlc,e_maxalloc,e_minalloc,e_oemid,e_oeminfo,e_ovno,e_sp,e_ss
1Password-8.12.10.36.exe,84543088,1049392,213897216,0,0,4096,0,0,0,0,0,34,211015649,28,202598576,1408,203321280,49504,5022708,208670720,248657,203342394,512,4784,203596136,300,203591052,5368709120,320,172449280,34404,523,0,14,10,10,0,0,0,0,14,0,0,156348,213737472,15824,210950144,4096,172295680,1536,4096,1048576,214949888,38643200,240,4096,8388608,0,2,40,202597232,120,1,4,0,0,0,0,120,64,0,0,0,0,0,0,0
7z-16.4.0-x64.exe,29204,0,0,0,0,4096,32768,0,0,0,0,303,0,0,0,0,0,0,0,0,0,0,512,340,32768,140,36068,4194304,0,0,332,267,0,6,4,4,0,0,0,0,4,0,0,4072,53248,0,0,4096,25600,1024,4096,1048576,57344,18944,224,4096,1048576,0,2,0,0,144,3,4,0,0,0,0,240,64,65535,0,0,0,0,184,0
7z-23.1.0-x64.exe,29588,0,0,0,0,4096,32768,0,0,0,0,303,0,0,0,0,0,256,0,0,0,0,512,332,32768,140,35908,4194304,0,0,332,267,0,6,4,4,0,0,0,0,4,0,0,4072,53248,0,0,4096,26112,1024,4096,1048576,57344,19968,224,4096,1048576,0,2,0,0,144,3,4,0,0,0,0,232,64,65535,0,0,0,0,184,0
7z-26.0.0-x64.exe,34816,0,0,0,0,4096,0,0,0,0,0,35,0,0,0,0,0,33024,912,61440,0,0,512,656,36864,140,41616,4194304,0,0,34404,523,0,8,4,5,0,0,0,2,5,0,0,4072,65536,0,0,4096,32256,1024,4096,1048576,69632,27136,240,4096,1048576,0,2,0,0,144,3,4,0,0,0,0,224,64,65535,0,0,0,0,184,0
Advanced File Security 3.1 Basic-3.1.7.exe,653970,0,0,0,0,4096,839680,0,0,0,0,291,0,0,0,64,1050716,0,0,0,0,0,4096,1740,839680,240,1050852,4194304,0,0,332,267,0,8,4,4,0,0,0,0,4,0,0,196752,1114112,0,0,4096,835584,4096,4096,1048576,1314816,475136,224,4096,1048576,0,2,0,0,144,3,4,0,0,0,0,264,64,65535,0,0,0,0,184,0
aescrypt-3.09.exe,42428,456,188416,0,0,4096,0,0,0,0,0,34,160324,28,86752,0,0,33088,2964,139264,0,0,512,616,86016,60,101536,5368709120,0,0,34404,523,0,10,5,5,0,0,2,2,6,0,0,44052,143360,0,0,4096,81408,1024,4096,1048576,192512,72704,240,4096,1048576,0,3,0,0,144,3,4,0,0,0,0,232,64,65535,0,0,0,0,184,0
aescrypt-4.5.0_gui.exe,326704,892,987136,0,0,4096,0,0,0,0,0,34,990914,28,527632,0,0,33120,13380,593920,0,0,512,2160,356352,400,566844,5368709120,320,527312,34404,523,0,14,6,6,0,44,0,0,6,0,0,374400,610304,15000,969216,4096,349184,1024,4096,1048576,991232,620544,240,4096,1048576,0,3,40,527744,144,3,4,0,0,0,0,264,64,65535,0,0,0,0,184,0
aescrypt-v3.10.exe,42520,456,188416,0,0,4096,0,0,0,0,0,34,206097,28,86752,0,0,33088,2964,139264,0,0,512,616,86016,60,101632,5368709120,0,0,34404,523,0,10,5,5,0,0,2,2,6,0,0,44052,143360,0,0,4096,81408,1024,4096,1048576,192512,72704,240,4096,1048576,0,3,0,0,144,3,4,0,0,0,0,232,64,65535,0,0,0,0,184,0
AgnotSecurity-2.2.2.exe,640624,41528,737280,0,0,4096,643072,0,0,0,0,33166,0,0,0,0,0,0,0,0,0,0,512,0,0,9864,716800,4194304,0,0,332,267,0,2,4,4,0,25,0,0,8,0,0,1925120,782336,0,0,4096,636928,1024,4096,1048576,2707456,2024448,224,16384,1048576,0,2,24,733184,80,2,4,0,0,0,0,256,64,65535,15,0,0,26,184,0
AloahaCrypt-6.3.1.exe,458676,0,0,0,0,4096,585728,0,0,0,0,259,1635454,0,0,0,0,33024,0,0,0,0,512,1572,585728,260,721712,4194304,64,694544,332,267,0,9,5,5,0,0,0,0,4,0,0,822760,958464,7632,1567232,4096,578560,1024,4096,1048576,1781760,987648,224,4096,1048576,0,2,0,0,144,3,4,0,0,0,0,240,64,65535,0,0,0,0,184,0
ALZip-11.8.23.exe,800709,109116,2797568,0,0,4096,1142784,0,0,0,0,258,2943832,28,1145136,128,1444652,32768,0,0,1280,1462592,512,1788,1142784,240,1449504,4194304,64,1293384,332,267,0,9,5,5,0,0,0,0,6,0,0,1305508,1490944,6464,2907136,4096,1137664,1024,4096,1048576,2924544,1768448,224,4096,1048576,0,2,24,1293456,144,3,4,0,0,0,0,248,64,65535,0,0,0,0,184,0
ArcThemALL!-5.1.0.exe,91585,0,0,0,0,4096,532480,0,0,0,0,291,693791,0,0,0,0,32768,0,0,0,0,512,2116,532480,340,578588,4194304,0,0,332,267,0,10,5,5,0,0,0,0,4,0,0,73688,700416,0,0,4096,526336,1024,4096,4194304,774144,157696,224,4096,4194304,0,2,0,0,144,3,4,0,0,0,0,248,64,65535,0,0,0,0,184,0
Arix-1.4.0.exe,896206,12,1089536,0,0,8192,901120,72,8200,0,0,258,0,28,901120,0,0,34112,0,0,0,0,512,8,8192,83,896120,4194304,0,0,332,267,0,11,4,4,0,0,0,0,4,0,0,175448,909312,0,0,8192,888320,1024,4096,1048576,1097728,176640,224,4096,1048576,0,2,0,0,144,3,4,0,0,0,0,128,64,65535,0,0,0,0,184,0
AshampooLauncher-2.16.0.exe,6053488,30972,10235904,0,0,4096,0,0,0,0,0,34,144892388,112,7739456,96,8321548,49504,233856,8437760,1652,8322128,512,3632,6709248,360,8323780,5368709120,320,6760704,34404,523,0,14,6,6,0,44,0,0,9,0,0,1551184,8683520,12192,144866696,4096,6700032,1024,4096,1048576,10268672,3546112,240,4096,1572864,0,2,40,7740032,144,3,4,0,0,0,0,272,64,65535,0,0,0,0,184,0
AshampooZIP-1.7.1.EXE,12093672,0,0,0,0,4096,12103680,0,0,17,14557208,33167,49305889,1,18096128,2470,14548992,0,0,0,0,0,512,3580,14528756,24012,14524416,4194304,0,0,332,267,0,2,5,5,0,25,0,0,11,0,0,2467328,15626240,9360,49295752,4096,12098560,1024,4096,1048576,52183040,38258563,224,16384,1048576,0,2,24,14557184,80,2,4,0,0,0,0,256,64,65535,15,0,0,26,184,0
AxCrypt-2.1.1692.exe,26763062,12,26959872,0,0,8192,26763264,72,8192,0,0,2,26996164,28,26763084,0,0,34144,0,0,0,0,512,8,26763076,76,26762984,4194304,0,0,332,267,0,8,4,4,0,0,0,0,3,0,0,188826,26763264,11168,26945024,8192,26755072,512,4096,1048576,26968064,189440,224,4096,1048576,0,2,0,0,144,3,4,0,0,0,0,128,64,65535,0,0,0,0,184,0
Backupper-8.2.0.0.exe,12748177,957020,25968640,0,0,4096,13975552,0,0,0,0,290,26795814,84,24491264,0,0,33088,0,0,0,0,512,15772,13975552,1360,25377040,4194304,64,24491352,332,267,0,14,6,6,0,28,0,0,5,0,0,215224,25751552,11488,26772992,4096,13970944,1024,4096,1048576,26927104,12944896,224,4096,1048576,0,2,24,24491592,144,3,4,0,0,0,0,352,64,65535,0,0,0,0,184,0
Bandizip.x64-v7.42.exe,2075936,8844,3530752,0,0,4096,0,0,0,0,0,34,3488436,84,2866448,96,3158952,49504,65772,3272704,0,0,512,4200,2383872,280,3159568,5368709120,320,2535680,34404,523,0,14,6,6,0,44,0,0,9,0,0,173320,3354624,23408,3462656,4096,2376704,1024,4096,1048576,3543040,1136128,240,4096,1048576,0,2,40,2866944,144,3,4,0,0,0,0,280,64,65535,0,0,0,0,184,0
Bandizip64-6.29.exe,1361792,6696,2248704,0,0,4096,0,0,0,0,0,34,2240223,84,1789104,96,1981600,49504,44256,2064384,0,0,512,3624,1589248,280,1981952,5368709120,256,1635840,34404,523,0,14,6,6,0,16,0,0,8,0,0,129720,2117632,13128,2210304,4096,1585152,1024,4096,1048576,2256896,655872,240,4096,1048576,0,2,40,1789192,144,3,4,0,0,0,0,272,64,65535,0,0,0,0,184,0
BCArchive-2.08.2.exe,653655,0,0,0,0,4096,1146880,0,0,0,0,259,1805326,0,0,0,0,32768,0,0,0,0,512,1396,1146880,200,1310656,4194304,64,1256256,332,267,0,9,5,5,0,0,0,0,5,0,0,404504,1384448,11744,1757696,4096,1141248,1024,4096,1048576,1789952,637440,224,4096,1048576,0,2,24,1256328,144,3,4,0,0,0,0,232,64,65535,0,0,0,0,184,0
BCWipe-3.50.0.17.exe,224581,19552,851968,0,0,4096,413696,0,0,0,0,258,870217,28,415136,0,0,33088,0,0,0,0,512,1344,413696,180,494516,4194304,64,468480,332,267,0,9,5,5,0,0,0,0,6,0,0,299568,548864,10552,829952,4096,409600,1024,4096,1048576,876544,450048,224,4096,1048576,0,2,24,468552,144,3,4,0,0,0,0,248,64,65535,0,0,0,0,184,0
BitQueeze-1.6.7.exe,1136912,0,0,0,0,741376,1138688,0,0,0,0,271,0,0,0,0,0,0,0,0,0,0,512,0,0,748,1148176,4194304,0,0,332,267,0,6,4,4,0,0,0,0,3,0,0,9488,1138688,0,0,4096,397312,4096,4096,1048576,1150976,12288,224,4096,1048576,737280,2,0,0,144,3,4,0,0,0,0,256,64,65535,0,0,0,0,184,0
Bitwarden-2026.3.1.exe,84487136,1049176,213757952,0,0,4096,0,0,0,0,0,34,210827558,28,202540528,1408,203263104,49504,5022204,208613376,248657,203284218,512,4760,203537936,300,203532876,5368709120,320,172400128,34404,523,0,14,10,10,0,0,0,0,14,0,0,77128,213680128,12144,210810368,4096,172245504,1536,4096,1048576,214810624,38553600,240,4096,8388608,0,2,40,202539184,120,1,4,0,0,0,0,120,64,0,0,0,0,0,0,0
bleachbit-5.0.2.exe,16037,1760,73728,0,0,4096,20480,0,0,0,0,258,130666,28,23816,0,0,33088,0,0,1876,24704,512,412,20480,280,26580,4194304,64,23624,332,267,0,14,6,6,0,44,0,0,5,0,0,32124,40960,10096,59904,4096,14848,1024,4096,1048576,77824,44032,224,4096,1048576,0,2,0,0,144,3,4,0,0,0,0,272,64,65535,0,0,0,0,184,0
bmpPacker.exe,4096,39676,958464,0,0,4096,700416,0,0,0,0,270,0,0,0,0,0,0,0,0,483,843776,512,0,0,9980,831488,4194304,0,0,332,267,0,5,4,4,0,0,0,0,8,0,0,107008,847872,0,0,4096,696320,1536,4096,1048576,999424,122880,224,8192,1048576,0,2,24,827392,80,2,4,0,0,0,0,512,64,65535,15,0,0,26,184,0
Bulambod-3.2015.06.exe,333118,12,352256,0,0,8192,335872,72,8200,0,0,258,0,0,0,0,0,34112,0,0,0,0,512,8,8192,79,333036,4194304,0,0,332,267,0,11,4,4,0,0,0,0,3,0,0,11560,335872,0,0,8192,325120,512,4096,1048576,360448,12288,224,4096,1048576,0,2,0,0,144,3,4,0,0,0,0,128,64,65535,0,0,0,0,184,0
burningstudio2026-1.27.1.exe,10682487,1929296,25821184,0,0,4096,17354752,0,0,0,0,258,26963357,84,20340448,0,0,33088,0,0,392,22619088,512,21188,17354752,920,22619480,4194304,64,20340256,332,267,0,14,6,6,0,50,0,0,6,0,0,1796600,24023040,12192,26890752,4096,17350656,1024,4096,1048576,27754496,10387968,224,4096,4194304,0,2,24,20340544,144,3,4,0,0,0,0,480,64,65535,0,0,0,0,184,0
cc2go.exe,4096,0,0,0,0,4096,81920,0,0,0,0,271,0,0,0,0,0,0,0,0,0,0,512,0,0,3999,110592,4194304,0,0,332,267,0,5,4,4,0,0,0,0,4,0,0,14924,114688,0,0,4096,77824,1024,4096,1048576,131072,23040,224,8192,1048576,0,2,0,0,80,2,4,0,0,0,0,512,64,65535,15,0,0,26,184,0
CenoCipher.exe,4768,0,0,0,0,4096,749568,0,0,0,0,783,884580,0,0,0,0,0,0,0,0,0,512,1028,885984,7104,884736,4194304,0,0,332,267,1,2,4,4,0,22,0,0,9,0,0,22488,901120,0,0,4096,744960,1024,4096,1048576,925696,844800,224,4096,2097152,56832,2,24,897024,144,3,4,0,0,0,0,128,64,65535,0,0,0,0,184,0
certutil-10.0.26.exe,6560,8428,1593344,0,0,4096,0,0,0,0,0,34,1648014,112,1384048,448,1438912,49504,36348,1544192,0,0,4096,6184,1158408,540,1442592,5368709120,328,1158080,34404,523,10,14,10,10,0,38,0,0,8,0,0,4160,1585152,0,0,4096,1142784,4096,4096,1048576,1605632,458752,240,8192,524288,0,3,0,0,144,3,4,0,0,0,0,248,64,65535,0,0,0,0,184,0
CFFiles-5.5.0.1.exe,5752,20436,1576960,0,0,4096,958464,0,0,0,0,782,1637772,0,0,0,0,0,0,0,1329,1110016,512,0,0,34404,1073152,4194304,0,0,332,267,0,5,4,4,0,0,0,0,8,0,0,462848,1114112,15248,1565696,4096,954368,1536,4096,1048576,1597440,106496,224,8192,1048576,0,2,24,1069056,80,2,4,0,0,0,0,512,64,65535,15,0,0,26,184,0
